,0
0,469.97819295544156
1,471.8457560823779
2,433.8548788829037
3,457.4224206930635
4,464.7329769420891
5,448.18591337307424
6,478.1892109171774
7,446.63781628287944
8,483.7714977517677
9,439.94436642699367
10,434.27739743220627
11,431.70365179374517
12,472.4085598919161
13,463.1154358559753
14,443.9787268409186
15,456.5271178632724
16,488.0870033042065
17,447.54519942022023
18,426.72422800163133
19,438.1713079018899
20,439.3374790403674
21,483.06955221930303
22,459.71904992080897
23,475.5067290325637
24,431.47101937214325
25,434.1190106730686
26,467.6020559707679
27,470.0985361163469
28,432.47483572965734
29,476.48218624093585
30,443.2115105729091
31,431.17758729661426
32,449.9844344186387
33,470.5751725513867
34,468.9472096584248
35,472.30879834007317
36,446.5315553332755
37,455.42647378841275
38,445.64292067480443
39,481.11235679094494
40,465.8789003017828
41,434.3465529011577
42,473.30003917417207
43,467.018729008541
44,462.01099000117273
45,485.0035052017035
46,436.4038240271259
47,430.8342216393376
48,440.25985075253186
49,475.3706042102609
50,472.863627964888
51,465.2724585850212
52,468.61190135288894
53,434.1635389151255
54,464.60191516118005
55,430.81972890228826
56,442.4622206701506
57,439.9365753786671
58,472.9941081350114
59,453.99289112637007
60,482.6420152148439
61,452.3456716217428
62,443.8779283976253
63,468.4391709809677
64,441.2174093835474
65,481.3408684929653
66,466.70872882304144
67,457.0444384071937
68,485.87983824128645
69,437.5776490741773
70,442.2421776806992
71,465.5508247042885
72,441.66997326694195
73,426.9585505764923
74,464.6621868296172
75,473.7422597722077
76,446.541870362771
77,428.567435576745
78,434.8300433222628
79,448.97263386601185
80,431.854884142376
81,434.69501035664626
82,451.0813362057702
83,448.9380535193351
84,466.52328595949376
85,446.2632449607761
86,464.0117016119892
87,452.05262067605804
88,481.1284049060109
89,458.5474557271415
90,444.5731098936219
91,430.810067695073
92,473.05218535980833
93,456.89162987775984
94,445.9740836546132
95,441.27568073014004
96,442.23191902458524
97,440.97174892453813
98,437.0177232534532
99,468.8591685722453
100,443.3974373198218
101,427.5691816952964
102,466.26678586930495
103,480.42369821637203
104,471.75100424527324
105,468.524073184628
106,479.92172403633384
107,464.2756439178107
108,432.3514891588546
109,452.8769881131401
110,445.30190173638135
111,438.3778697816349
112,444.9148951798041
113,443.32168726430376
114,446.26216412762693
115,433.1998870541157
116,470.8223846391526
117,467.1344420986527
118,451.7935812541448
119,478.6746717811327
120,438.1271006979598
121,430.5874739415616
122,433.17010145792966
123,441.60065735201556
124,439.7475380160827
125,433.88215105717535
126,443.86762494803384
127,432.73889812910613
128,431.54412649052927
129,451.9694529201634
130,443.62461755596377
131,440.0008172540871
132,445.9560716987886
133,449.81283985972885
134,449.4697205868918
135,447.43034772444054
136,471.72990189258394
137,447.6653927657095
138,447.39321695450457
139,455.0918344041197
140,475.51177393477633
141,468.21721264847486
142,476.60490665958486
143,465.21667240093876
144,471.77537800300956
145,441.2214373980094
146,452.1021205660383
147,445.18578243952135
148,451.0616171331126
149,488.3249612185983
150,433.6366776772029
151,465.44425401318733
152,452.1578409248168
153,443.80997348460915
154,470.21542619438884
155,448.2146378531131
156,464.75182484018336
157,439.1608441584147
158,458.4918769608475
159,466.61100662413435
160,450.90133383517195
161,435.67182821661584
162,468.05201987344645
163,459.51432188574626
164,471.6961250747172
165,435.150461912079
166,455.96095043745964
167,464.7025592585738
168,428.21245616013505
169,439.53202324850986
170,488.7318193636224
171,461.4227490962761
172,443.0468128556306
173,466.74704827151294
174,462.1980054759903
175,465.19153172716744
176,434.858918991677
177,469.4915504559199
178,439.2835666115781
179,464.37775325870115
180,432.46901723714876
181,449.8973592519435
182,463.86484241125953
183,436.5050503726045
184,462.57982644319895
185,450.92488380816894
186,441.5462244624938
187,472.65116383077196
188,472.823211221773
189,473.7961466791251
190,476.19888398785054
191,476.2416420443959
192,473.1031286980703
193,469.15781907264494
194,442.4448346589938
195,469.37922244221255
196,459.0003504983434
197,482.9395046151655
198,444.4977174852266
199,445.2371843283627
200,473.5689630568574
201,469.50969001869225
202,449.0449149792631
203,472.4618925645134
204,486.37251508152144
205,432.31572779380156
206,433.99180256335876
207,468.57531713245265
208,473.76055573695913
209,461.21905402185587
210,453.9746140057806
211,433.8754832703665
212,459.81121522401014
213,460.5339303140076
214,466.4912820813272
215,453.0994021281094
216,450.05460937104954
217,463.3109976719834
218,433.4051088045699
219,477.4964161150825
220,463.44102367761246
221,443.691809730983
222,442.2262650416067
223,478.7115136123561
224,464.2268456815205
225,446.40341772594996
226,436.4251201141165
227,456.07734273141887
228,483.61351170814163
229,433.22728016090974
230,454.7616352001593
231,469.1101364123719
232,433.8611153860316
233,448.1824799793659
234,451.3621733858054
235,440.1952807566388
236,440.65271544230956
237,487.8008645559056
238,434.5315749461845
239,446.319349589157
240,472.0062414323178
241,474.17279749700305
242,430.2530530232385
243,466.55249976676106
244,465.6289531840874
245,438.6821396558466
246,446.931921545144
247,430.7338592400914
248,479.06805622122124
249,462.45936985841104
250,479.6231832729709
251,474.96979370514833
252,445.7974569263376
253,454.09018651897543
254,476.42991981625966
255,457.76215401697493
256,434.59790164752224
257,486.8994001299882
258,487.9931856922641
259,429.90200883780767
260,445.37940631497736
261,445.0187031817731
262,443.60581142359285
263,448.5048182935935
264,465.62699599169554
265,438.25841865395546
266,479.27682698161584
267,439.34871268862116
268,447.95777555376935
269,476.2135728861989
270,468.9528119657145
271,430.0529034522789
272,459.21884572673724
273,454.2151148720071
274,474.3050319380486
275,435.20215298276435
276,463.57726752490197
277,443.1774594588597
278,461.37395010812776
279,469.6103878633753
280,430.64606425060737
281,470.20871810158457
282,472.2741008931955
283,466.5413601736189
284,482.993968151484
285,470.20050822896235
286,434.2084759637387
